id,title,year,rating,genre
1,쇼생크 탈출,1994,4.6,Drama
2,대부,1972,4.6,Drama
3,다크 나이트,2008,4.5,Action
4,인셉션,2010,4.4,SF
5,기생충,2019,4.2,Thriller
6,인터스텔라,2014,4.3,SF
7,매트릭스,1999,4.3,SF
8,토이 스토리,1995,4.1,Animation
9,센과 치히로의 행방불명,2001,4.3,Animation
10,타이타닉,1997,3.9,Romance
11,아바타,2009,3.9,SF
12,글래디에이터,2000,4.2,Action
13,라이온 킹,1994,4.2,Animation
14,쥬라기 공원,1993,4.1,SF
15,어벤져스,2012,4.0,Action
16,포레스트 검프,1994,4.4,Drama
17,양들의 침묵,1991,4.3,Thriller
18,에이리언,1979,4.2,Horror
19,터미네이터 2: 심판의 날,1991,4.3,Action
20,백투더퓨처,1985,4.2,SF
21,싸이코,1960,4.2,Horror
22,샤이닝,1980,4.2,Horror
23,코코,2017,4.2,Animation
24,월-E,2008,4.2,Animation
25,너의 이름은.,2016,4.2,Animation
26,스파이더맨: 뉴 유니버스,2018,4.2,Animation
27,조커,2019,4.2,Drama
28,업,2009,4.1,Family
29,다이하드,1988,4.1,Action
30,인디아나 존스: 레이더스,1981,4.2,Action
31,트루먼 쇼,1998,4.1,Drama
32,캐치 미 이프 유 캔,2002,4.0,Drama
33,니모를 찾아서,2003,4.1,Family
34,인사이드 아웃,2015,4.0,Animation
35,몬스터 주식회사,2001,4.0,Animation
36,식스 센스,1999,4.1,Mystery
37,셔터 아일랜드,2010,4.1,Mystery
38,나를 찾아줘,2014,4.0,Mystery
39,뷰티풀 마인드,2001,4.1,Drama
40,라라랜드,2016,4.0,Romance
41,노트북,2004,3.9,Romance
42,오만과 편견,2005,3.9,Romance
43,슈퍼배드,2007,3.8,Comedy
44,행오버,2009,3.8,Comedy
45,나 홀로 집에,1990,3.8,Family
46,나이브스 아웃,2019,3.9,Mystery
47,겟 아웃,2017,3.9,Horror
48,콰이어트 플레이스,2018,3.7,Horror
49,매드맥스: 분노의 도로,2015,4.0,Action
50,존 윅,2014,3.7,Action
