userId,movieId,score
1,3,4
1,30,5
1,11,5
1,7,4
1,29,4
1,6,4
1,4,4
1,47,2
1,10,3
1,40,3
1,5,2
1,2,3
2,8,5
2,13,4
2,26,5
2,25,4
2,24,5
2,9,4
2,34,4
2,35,5
2,45,4
2,36,3
2,7,2
2,31,3
3,39,5
3,27,5
3,2,5
3,1,5
3,32,5
3,38,5
3,16,4
3,37,4
3,46,5
3,29,3
3,21,2
3,40,2
4,32,5
4,27,5
4,40,5
4,16,5
4,31,5
4,10,5
4,1,5
4,2,5
4,41,5
4,39,4
4,22,3
4,7,2
4,18,3
4,48,3
5,18,4
5,17,4
5,47,5
5,21,5
5,5,4
5,48,5
5,22,4
5,46,2
5,12,3
5,33,1
6,24,5
6,20,4
6,26,5
6,9,4
6,35,4
6,11,5
6,6,4
6,43,3
6,19,2
6,45,2
6,1,2
7,19,4
7,49,5
7,50,4
7,3,4
7,20,4
7,12,5
7,15,4
7,29,4
7,36,2
7,32,2
7,26,3
8,41,4
8,43,5
8,42,4
8,10,5
8,44,5
8,40,4
8,49,2
8,48,1
8,25,3
8,30,3
9,38,4
9,17,5
9,5,5
9,37,5
9,36,5
9,46,4
9,3,2
9,24,3
9,6,3
10,24,4
10,32,5
10,39,5
10,35,4
10,23,5
10,9,5
10,2,5
10,26,4
10,31,5
10,8,5
10,43,3
10,46,2
10,6,2
10,11,3
11,9,5
11,28,5
11,33,5
11,45,5
11,8,4
11,25,5
11,24,5
11,35,4
11,19,3
11,14,2
11,38,3
12,22,4
12,49,5
12,30,4
12,29,4
12,15,4
12,18,5
12,48,4
12,12,4
12,3,4
12,44,2
12,5,3
12,28,1
12,40,3
12,42,2
